,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
70,00700.HK,00700,腾讯控股,10009066,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004012999,除税后溢利,145000000000.0
71,00700.HK,00700,腾讯控股,10009066,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004025001,少数股东损益,2251000000.0
72,00700.HK,00700,腾讯控股,10009066,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004025002,股东应占溢利,142749000000.0
73,00700.HK,00700,腾讯控股,10009066,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004027002,每股基本盈利,15.346
74,00700.HK,00700,腾讯控股,10009066,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004027003,每股摊薄盈利,15.008
75,00700.HK,00700,腾讯控股,10009066,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004030997,其他全面收益其他项目,64832000000.0
76,00700.HK,00700,腾讯控股,10009066,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004030999,其他全面收益,64832000000.0
77,00700.HK,00700,腾讯控股,10009066,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004039999,全面收益总额,209832000000.0
78,00700.HK,00700,腾讯控股,10009066,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004040001,非控股权益应占全面收益总额,4277000000.0
79,00700.HK,00700,腾讯控股,10009066,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,205555000000.0
80,00700.HK,00700,腾讯控股,10009066,2024-09-30 00:00:00,004,12-31,2024-01-01 00:00:00,004099999,非运算项目,-229218000000.0
81,00700.HK,00700,腾讯控股,10009066,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004001001,营业额,316570000000.0
82,00700.HK,00700,腾讯控股,10009066,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004001002,其他营业收入,4048000000.0
83,00700.HK,00700,腾讯控股,10009066,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004001999,营运收入,320618000000.0
84,00700.HK,00700,腾讯控股,10009066,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004005001,营运支出,150853000000.0
85,00700.HK,00700,腾讯控股,10009066,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004007999,毛利,169765000000.0
86,00700.HK,00700,腾讯控股,10009066,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004010002,其他收益,2515000000.0
87,00700.HK,00700,腾讯控股,10009066,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004010003,销售及分销费用,16692000000.0
88,00700.HK,00700,腾讯控股,10009066,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004010004,行政开支,52300000000.0
89,00700.HK,00700,腾讯控股,10009066,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004010999,经营溢利,103288000000.0
90,00700.HK,00700,腾讯控股,10009066,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004011200,利息收入,8098000000.0
91,00700.HK,00700,腾讯控股,10009066,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004011201,融资成本,5938000000.0
92,00700.HK,00700,腾讯控股,10009066,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004011202,应占联营公司溢利,9904000000.0
93,00700.HK,00700,腾讯控股,10009066,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004011997,溢利其他项目,2000000.0
94,00700.HK,00700,腾讯控股,10009066,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004011999,除税前溢利,115354000000.0
95,00700.HK,00700,腾讯控股,10009066,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004012001,税项,24337000000.0
96,00700.HK,00700,腾讯控股,10009066,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004012002,持续经营业务税后利润,91017000000.0
97,00700.HK,00700,腾讯控股,10009066,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004012999,除税后溢利,91017000000.0
98,00700.HK,00700,腾讯控股,10009066,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004025001,少数股东损益,1498000000.0
99,00700.HK,00700,腾讯控股,10009066,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004025002,股东应占溢利,89519000000.0
100,00700.HK,00700,腾讯控股,10009066,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004027002,每股基本盈利,9.59
101,00700.HK,00700,腾讯控股,10009066,2024-06-30 00:00:00,002,12-31,2024-01-01 00:00:00,004027003,每股摊薄盈利,9.377
