,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
68,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004025001,少数股东损益,1107022000.0
69,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004025002,股东应占溢利,8701953000.0
70,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004027002,每股基本盈利,0.9358
71,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004027003,每股摊薄盈利,0.9358
72,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004030997,其他全面收益其他项目,667548000.0
73,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004030999,其他全面收益,667548000.0
74,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004039999,全面收益总额,10476523000.0
75,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004040001,非控股权益应占全面收益总额,1259138000.0
76,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,9217385000.0
77,01378.HK,01378,中国宏桥,10174782,2022-12-31 00:00:00,001,12-31,2022-01-01 00:00:00,004099999,非运算项目,-113460127000.0
78,01378.HK,01378,中国宏桥,10174782,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004001001,营业额,114490941000.0
79,01378.HK,01378,中国宏桥,10174782,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004001999,营运收入,114490941000.0
80,01378.HK,01378,中国宏桥,10174782,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004005002,销售成本,84037845000.0
81,01378.HK,01378,中国宏桥,10174782,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004007999,毛利,30453096000.0
82,01378.HK,01378,中国宏桥,10174782,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004010001,其他收入,3706677000.0
83,01378.HK,01378,中国宏桥,10174782,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004010003,销售及分销费用,525709000.0
84,01378.HK,01378,中国宏桥,10174782,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004010004,行政开支,5708346000.0
85,01378.HK,01378,中国宏桥,10174782,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004010006,重估盈余,-116806000.0
86,01378.HK,01378,中国宏桥,10174782,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004010012,其他支出,1690523000.0
87,01378.HK,01378,中国宏桥,10174782,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004010999,经营溢利,26118389000.0
88,01378.HK,01378,中国宏桥,10174782,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004011201,融资成本,3625974000.0
89,01378.HK,01378,中国宏桥,10174782,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004011202,应占联营公司溢利,61519000.0
90,01378.HK,01378,中国宏桥,10174782,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004011999,除税前溢利,22553934000.0
91,01378.HK,01378,中国宏桥,10174782,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004012001,税项,5705135000.0
92,01378.HK,01378,中国宏桥,10174782,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004012002,持续经营业务税后利润,16848799000.0
93,01378.HK,01378,中国宏桥,10174782,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004012999,除税后溢利,16848799000.0
94,01378.HK,01378,中国宏桥,10174782,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004025001,少数股东损益,775457000.0
95,01378.HK,01378,中国宏桥,10174782,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004025002,股东应占溢利,16073342000.0
96,01378.HK,01378,中国宏桥,10174782,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004027002,每股基本盈利,1.772
97,01378.HK,01378,中国宏桥,10174782,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004027003,每股摊薄盈利,1.7119
98,01378.HK,01378,中国宏桥,10174782,2021-12-31 00:00:00,001,12-31,2021-01-01 00:00:00,004030997,其他全面收益其他项目,-206455000.0
